"﻿""proveedor""",codigo,descripcion,categoria
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",LANL38,"LANZA LISA 3/8""","Herrería, forja y herrajes"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",LANL12,"LANZA LISA DE 1/2""","Herrería, forja y herrajes"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",PUFLE105,"LANZA LISA DE 1/2"" (PUFLE 105)","Herrería, forja y herrajes"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",MANG175,MANGUERA REF. GONI  10 MTS (G-175) (003353),Tubería y conexiones
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",PGIS-S/GIS,PORTA GIS WYP-400-1 SIN GIS,Soldadura (consumibles)
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",PRIBCO,PRIMARIO BLANCO,Pintura y químicos
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",PRIBCO5000,PRIMARIO BLANCO 5000 GALON,Pintura y químicos
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",PRIGRIS,PRIMARIO GRIS,Pintura y químicos
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",GALPRI5002,PRIMARIO GRIS 5002 GALON,Pintura y químicos
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",PRINEG,PRIMARIO NEGRO,Pintura y químicos
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",GALPRI5003,PRIMARIO NEGRO 5003 GALON,Pintura y químicos
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",PRIRO,PRIMARIO ROJO,Pintura y químicos
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",GALPRI5001,PRIMARIO ROJO 5001 GALON,Pintura y químicos
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",REBA,REJACERO BARROCO  91.5 X 2.44 MTS.,"Alambre, malla y cercas"
